"Filename"	"Segment"	"WC"	"Analytic"	"Clout"	"Authentic"	"Tone"	"WPS"	"Sixltr"	"Dic"	"function."	"pronoun"	"ppron"	"i"	"we"	"you"	"shehe"	"they"	"ipron"	"article"	"prep"	"auxverb"	"adverb"	"conj"	"negate"	"verb"	"adj"	"compare"	"interrog"	"number"	"quant"	"affect"	"posemo"	"negemo"	"anx"	"anger"	"sad"	"social"	"family"	"friend"	"female"	"male"	"cogproc"	"insight"	"cause"	"discrep"	"tentat"	"certain"	"differ"	"percept"	"see"	"hear"	"feel"	"bio"	"body"	"health"	"sexual"	"ingest"	"drives"	"affiliation"	"achieve"	"power"	"reward"	"risk"	"focuspast"	"focuspresent"	"focusfuture"	"relativ"	"motion"	"space"	"time"	"work"	"leisure"	"home"	"money"	"relig"	"death"	"informal"	"swear"	"netspeak"	"assent"	"nonflu"	"filler"	"AllPunc"	"Period"	"Comma"	"Colon"	"SemiC"	"QMark"	"Exclam"	"Dash"	"Quote"	"Apostro"	"Parenth"	"OtherP"	"Study.Num"
"107.txt"	1	4407	93.22	49.18	1	25.04	4407	9.78	9.01	1.59	0.32	0	0	0	0	0	0	0.32	0.05	0.95	0	0	0.23	0.05	0.02	1.82	0.09	0	63.44	0.16	2.41	1.18	1.23	0.02	0.82	0	0.29	0	0	0	0.05	1.75	0	0.18	0	0.16	1.09	0.41	0.16	0.09	0.07	0	0.39	0	0.11	0.05	0.23	1.25	0.05	0.07	1.18	0	0.05	0	0	0	1.47	0.07	1.32	0.09	0.5	0.29	1.2	0.27	0.02	0	0.05	0.05	0	0	0	0	90.54	0.05	54.87	10.48	0	0	0	4.86	4.77	0	4.9	10.62	107
"11.txt"	1	9923	95.81	60.66	40.32	25.61	27.41	34.88	65.69	36.09	4.05	0.99	0	0.7	0	0.01	0.28	3.06	6.03	14.56	4.71	2.16	5.33	0.61	7.93	5.72	4.01	0.54	6.12	2.72	1.8	0.9	0.91	0.39	0.17	0.2	5.55	0.02	2.7	0.09	0.01	14.14	4.82	4.74	0.41	1.7	1.47	2.93	0.95	0.59	0.16	0.02	0.53	0.04	0.36	0	0.13	7.15	4.22	0.6	1.61	0.48	0.48	2.64	3.79	0.33	12.2	0.95	10.16	1.28	2.56	0.07	2.73	0.11	0	0.01	0.5	0	0.4	0.29	0.03	0	22.96	5.07	6.32	0.19	0.94	0.05	0	1.65	0.6	0.19	5.6	2.34	11
"110.txt"	1	4816	90.3	49.17	1	21.31	4816	9.34	11.5	4.61	0.35	0.02	0.02	0	0	0	0	0.33	0	1.16	2.72	0	0.31	0.08	2.76	1.58	0.06	0	64.24	0.12	2.33	1.02	1.31	0.06	0.77	0	0.33	0	0	0.04	0	1.52	0	0.12	0	0.15	0.91	0.39	0.15	0.04	0.1	0	0.08	0	0.04	0	0.04	1.35	0.02	0.06	1.29	0	0.06	0	2.72	0.02	1.66	0	1.66	0	0.35	0.17	1.16	0.17	0.04	0	0.08	0.04	0.04	0	0	0	90.88	0.08	54.65	10.32	0	0	0	5.19	4.9	0	5.07	10.67	110
"111.txt"	1	4096	90.55	48.24	1	26.58	4096	9.47	11.16	4.08	0.51	0.07	0.07	0	0	0	0	0.44	0	1.03	2.22	0	0.39	0	2.27	1.81	0.12	0	63.96	0.2	2.1	1.07	1.03	0.07	0.59	0	0.27	0	0	0	0.02	1.76	0	0.12	0	0.2	0.98	0.59	0.12	0.02	0.1	0	0.27	0	0.12	0.02	0.12	1.25	0.02	0.12	1.07	0	0.1	0	2.22	0	1.42	0	1.42	0	0.78	0.17	1.03	0.59	0	0	0.05	0.05	0	0	0	0	90.6	0.05	54.52	10.28	0	0	0	5.1	5.08	0	4.98	10.6	111
"112.txt"	1	1235	93.22	49.03	1	31.28	1235	8.99	8.26	1.7	0.24	0	0	0	0	0	0	0.24	0	1.05	0	0	0.4	0	0	2.35	0.08	0	64.29	0.16	2.59	1.46	1.13	0	0.49	0.08	0.08	0	0	0.08	0	1.86	0	0.08	0	0.16	1.38	0.32	0.08	0.08	0	0	0.32	0	0.08	0.08	0.16	1.54	0	0.32	1.3	0	0.08	0	0.24	0	1.21	0	1.21	0	0.97	0.16	0.57	0.4	0	0	0	0	0	0	0	0	91.82	0.16	54.17	10.85	0	0	0	5.18	5.18	0	5.34	10.93	112
"113.txt"	1	1263	89.82	53.48	1	25.77	421	0.24	15.91	6.97	4.43	4.43	1.82	0	2.61	0	0	0	1.98	0.16	0.32	0	0	0.08	0.4	0	0	0	13.78	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0.08	0.08	0	0	0	0	0	0	0	0	0.4	0	0.32	0.08	0.24	0	0	0.08	0	0	0	0	11.16	0	11.08	2.38	0.16	0	63.34	1.9	2.14	1.66	2.14	1.82	2.14	1.74	1.66	1.58	3.56	42.99	113
"114.txt"	1	4971	93.05	49.28	1	24.81	4971	9.66	9.11	1.59	0.34	0.04	0.04	0	0	0	0	0.3	0	0.93	0.04	0	0.26	0.06	0.1	1.75	0.14	0	62.72	0.42	1.95	0.95	1.01	0.04	0.64	0	0.44	0	0	0.04	0.02	1.83	0.04	0.16	0	0.42	0.89	0.46	0.22	0.1	0.06	0.06	0.28	0.08	0.12	0.02	0.1	1.27	0.06	0.1	1.09	0	0.06	0.02	0.12	0	1.33	0.06	1.21	0.04	0.99	0.34	1.05	0.5	0.04	0	0.06	0.06	0	0	0	0	91.59	0.48	54.17	10.26	0	0	0	4.91	5.45	0	5.49	10.82	114
"115.txt"	1	3040	89.94	50.53	1	26.86	380	0.07	16.25	7.34	4.87	4.87	2.47	0.07	2.3	0.03	0	0	2.07	0.3	0.1	0	0	0	0.13	0	0	0	10.99	0	0.07	0.07	0	0	0	0	0.33	0.07	0	0.07	0.07	0.07	0	0	0	0	0	0.07	0	0	0	0	0.13	0	0.1	0.03	0	0.16	0.1	0	0.07	0	0	0	0.13	0	0.13	0	0.13	0	0	0.03	0	0	0	0.03	10.86	0.03	10.62	2.2	0.1	0.07	65.79	1.97	2.3	1.91	2.11	2.34	1.88	1.64	2.07	1.74	3.65	44.18	115
"116.txt"	1	1706	88.97	50.47	1	24.83	853	0.12	16.76	6.57	4.63	4.63	2.34	0	2.23	0.06	0	0	1.58	0.06	0.23	0.06	0.06	0	0.23	0	0	0	10.49	0	0.06	0	0.06	0	0	0	0.35	0.06	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0	0.41	0.18	0	0.23	0	0	0	0.23	0	0.06	0	0.06	0	0.18	0	0	0	0	0	11.96	0.12	11.9	2.4	0.12	0	66.65	1.58	2.05	1.35	2.4	2.29	1.41	1.76	1.41	2.17	2.93	47.3	116
"117.txt"	1	4225	89.29	50.28	1	25.77	422.5	0.05	16.64	7.1	4.83	4.83	2.39	0.02	2.39	0.02	0	0	1.99	0.05	0.09	0.02	0.14	0.05	0.09	0.02	0.02	0	11.22	0.02	0.14	0.07	0.07	0	0	0	0.31	0	0.05	0.02	0.12	0.12	0	0	0.12	0.12	0	0.12	0.05	0	0.05	0	0.09	0	0.07	0.02	0	0.24	0.12	0	0.12	0	0	0	0.09	0	0.07	0	0.07	0	0.05	0.05	0	0	0	0	11.67	0.09	11.43	2.37	0.26	0.05	64.21	2.44	1.56	2.2	1.87	2.15	1.89	2.08	1.89	1.59	4.07	42.46	117
