"Study.Num","replicate","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
13,"1",1,7446,96.96,56.51,8.07,9.1,21.9,36.66,65.61,34.35,3.14,0.55,0.04,0.42,0,0.01,0.08,2.59,7.64,13.05,3.52,2.14,5.39,0.75,6.22,4.24,2.14,0.54,11.29,2.16,3.59,1.1,2.47,0.13,0.05,0.07,4.55,0.03,0.03,0.5,0.05,14.6,3.45,3.48,2.93,1.89,1.61,2.54,0.93,0.77,0.01,0.04,0.83,0,0.78,0,0.05,9.08,1.79,2.99,1.69,0.46,2.47,3.52,3.88,0.52,9.51,1.83,4.66,3.01,7.57,0.11,0.04,0.55,0,0,0.68,0,0.63,0.51,0.05,0,24.34,6.04,8.3,0.11,0.42,0.44,0,1.52,0.13,0.21,6.23,0.93
15,"1",1,8127,96.06,48.47,19.94,13.99,24.33,31.41,69.68,38.82,3.89,0.62,0,0.38,0,0,0.23,3.27,8.92,13.23,5.75,2.79,4.75,0.85,7.92,6.58,3.25,0.89,5.54,1.92,2.55,0.8,1.66,0.04,0.12,1.3,2.67,0.01,0.02,0.21,0,17.69,3.49,6.41,0.9,5.29,1.02,2.58,3.05,2.72,0.02,0.14,0.16,0.06,0.04,0,0.06,5.03,0.74,0.7,3.37,0.28,0.27,2.12,4.97,2.04,10.75,0.97,6.92,2.79,1.6,0.02,0.01,0.41,0,0,0.12,0,0.09,0.02,0.02,0,23,5.67,7.56,0.18,0.37,0,0,0.95,0.71,0.09,6.82,0.65
17,"1",1,13208,94.42,40.13,21.86,54.13,23.67,33.61,70.31,40.11,3.52,0.77,0.03,0.14,0.02,0.11,0.48,2.75,8.06,14.02,5.97,3.88,5.73,1.17,7.93,6.66,3.11,1.2,5.81,5.15,3,2.25,0.74,0.06,0.05,0.16,2.5,0,0.02,0.07,0.07,18.21,4.29,4.29,1.6,3.41,3.18,3.94,1.22,0.83,0.11,0.15,0.41,0.12,0.28,0,0.01,5.03,0.55,1.17,1.7,1.34,0.65,2.19,4.6,1.14,9.77,1.11,6.52,2.93,2.2,0.08,0.04,0.39,0,0.02,0.21,0,0.12,0.06,0.05,0,20.53,4.89,8.27,0.26,0.49,0.12,0,1.01,0.39,0.2,3.87,1.01
19,"0",1,13686,98.4,43.93,43.51,65.77,26.89,27.12,68.6,40.25,3.97,1.24,0.55,0.04,0.11,0,0.54,2.73,9.99,15.65,4.77,1.85,4.52,0.77,6.4,6.65,3.13,0.72,7.1,2.07,3.54,2.82,0.71,0.04,0.06,0.39,1.77,0.02,0,0.08,0,12.06,4.05,2.96,0.62,1.6,2.15,2.13,0.81,0.56,0.03,0.17,0.26,0.01,0.09,0,0.15,4.65,0.56,0.8,2.21,1.22,0.31,2.47,4.16,0.87,13.91,0.74,10.02,2.79,1.6,0.09,0.06,0.26,0,0,0.77,0,0.71,0.07,0.05,0,14.99,4.05,5.71,0.45,0.27,0.01,0,1.01,0.04,0.15,2.73,0.56
20,"0",1,4512,96.1,49.2,23.62,70.79,22.34,28.24,69.99,38.21,4.45,1.51,0,0.53,0.11,0,0.86,2.95,8.18,13.72,5.47,2.08,4.79,0.91,10.24,6.25,3.61,0.8,7.6,2.68,4.96,3.68,1.29,0.09,0.07,0.2,3.88,0,0.02,0,0,13.98,4.21,3.99,1.15,2.15,0.44,3.81,0.86,0.75,0,0.04,1.31,0.07,1.24,0,0,7.65,1.17,1.68,4.5,0.71,0.29,4.52,3.37,0.58,9.82,0.8,5.45,3.17,3.44,0.02,0,0.51,0,0,0.31,0,0.27,0.02,0.02,0,19.22,4.96,6.03,0.11,0.44,0.07,0,1.02,0.04,0.04,4.61,1.88
22,"0",1,7662,96.03,54.92,22.72,28.16,25.29,30.36,70.69,39.52,4.78,1.23,0,0.69,0,0.01,0.52,3.55,8.24,14.43,5.29,2.34,5.63,0.57,8.57,5.35,3.77,1.06,6.55,2.38,4.06,2.04,1.89,1.54,0.03,0.1,5.02,0.04,0.03,0.4,0.01,13.99,3.22,4.03,1.04,2.92,0.99,3.9,2.15,1.14,0.26,0.31,0.44,0.23,0.13,0.03,0.05,7.82,1.47,2.01,2,1.07,2.53,3.24,4.32,0.64,10.44,0.86,6.66,3.07,3.62,0.16,0.17,0.27,0,0,0.47,0,0.38,0.26,0.05,0,21.08,4.7,7.61,0.21,0.51,0.03,0,1.12,0.18,0.17,5.59,0.97
24,"1",1,7729,96.95,60.02,10.25,23.93,24.54,31.19,61.39,37.84,4.9,1.75,0,0.85,0.03,0.06,0.8,3.16,8.64,13.83,4.22,1.88,5.08,0.65,6.78,3.74,2.74,0.88,6.81,1.95,1.13,0.5,0.62,0.04,0.03,0.16,5.21,0.01,0.08,0.44,0.06,12.21,4.18,3.14,0.84,1.5,1.24,2.6,1.29,0.92,0.08,0.1,0.56,0.08,0.36,0,0.12,4.76,1.59,0.89,1.62,0.44,0.53,3.87,3.18,0.23,7.52,0.58,4.94,2.06,2.6,0.13,0.03,0.18,0.03,0,0.61,0.31,0.41,0.18,0.01,0,23.42,6.24,7.83,0.06,0.52,0.01,0,0.92,0.97,0.27,5.81,0.79
25,"1",1,5539,96.9,50.22,49.38,33.24,24.29,30.2,72.59,41.61,4.17,0.85,0.02,0.43,0,0.02,0.38,3.32,9.48,15.06,5.71,3.72,4.41,0.88,9.48,3.7,2.37,0.87,6.86,2.13,1.17,0.79,0.36,0.16,0.14,0,2.76,0,0,0.05,0.02,16.63,5.36,5.13,0.63,3,2.18,2.24,1.14,0.96,0.13,0.02,0.18,0.04,0.05,0.09,0,2.44,0.52,0.81,0.88,0.63,0.05,3.76,4.75,0.56,13.94,0.88,5.67,7.31,4.28,0.25,0,0.13,0.02,0,0.32,0,0.18,0.22,0.05,0,17.57,4.78,6.32,0.14,0.47,0.02,0,0.78,0.47,0.07,3.94,0.58
26,"1",1,10628,95.85,43.42,13.14,27.33,24.05,30.39,64.2,38.57,3.28,0.37,0,0.1,0,0,0.26,2.92,9.31,12.78,6.27,2.47,5.36,0.9,9.83,3.84,2.32,1.31,6.87,1.23,0.9,0.5,0.4,0.08,0.09,0.18,2.67,0,0.01,0.09,0,13.39,1.73,5.81,0.92,1.83,0.95,3.53,1.72,0.54,0.31,0.04,0.4,0.23,0.12,0,0.02,3.13,0.41,0.7,1.72,0.32,0.31,3.1,5.45,1.14,9.95,2.06,5.34,3.15,2.96,0.06,0.02,1.04,0,0.06,0.78,0,0.73,0.52,0.02,0,19.46,5.12,6.42,0.09,0.8,0.03,0,1.3,0.06,0.15,4.52,0.98
27,"1",1,14367,95.72,52.92,17.93,19.82,17.83,33.31,57.14,32.02,3.02,0.62,0.16,0.31,0.01,0,0.14,2.4,6.84,11.58,4.33,1.82,5.03,0.6,6.47,4.89,2.85,0.72,10.04,1.14,1.91,0.73,1.13,0.01,0.1,0.32,3.19,0.06,0.05,0.13,0.04,12.79,4.77,5.21,0.34,1.32,1.21,2.01,2.19,0.79,0.1,0.13,0.17,0.02,0.05,0.01,0.08,4.68,1.17,0.62,2.64,0.41,0.21,2.02,3.95,0.47,8.89,0.94,6.29,1.88,2.96,0.18,0.08,0.29,0.03,0.03,0.81,0.01,0.4,0.31,0.03,0,28.25,6.5,11.95,0.36,0.54,0.05,0,1.8,0.04,0.18,5.83,0.99
28,"0",1,4635,98.3,54.39,27.85,32.43,24.02,33.42,63.88,36.53,3.09,0.73,0,0.45,0,0,0.28,2.35,10.38,13.03,4.88,1.45,3.91,0.71,6.32,3.39,2.07,0.54,7.57,1.29,2.33,0.82,0.43,0.02,0.06,0.28,3.93,0,0,0.17,0,13.12,5.74,4.27,0.86,1.92,0.67,2.57,3.67,3.37,0.15,0.09,0.15,0.04,0.02,0.06,0.02,3.32,0.76,0.88,1.88,0.26,0.11,3,3.04,0.69,10.03,0.99,6.13,3.28,3.15,0.15,0,0.11,0,0,0.22,0,0.22,0.09,0,0,22.55,6,8.16,0.13,1.1,0,0,1.01,0.17,0.17,4.75,1.06
29,"1",1,5977,93.2,46.59,46.3,30.88,27.93,29.95,71.93,40.71,5.79,1.46,0.03,0.85,0,0,0.57,4.33,6.83,14.76,5.96,3.7,4.95,0.8,8.93,4.75,3.43,1.25,5.45,4.08,1.54,0.92,0.62,0.05,0.12,0.25,2.99,0,0.02,0,0,14.86,3.66,2.98,1.04,3.33,1.31,3.85,3.41,2.98,0.08,0.08,1.02,0.12,0.55,0.02,0.35,3.41,1.27,0.59,1.39,0.25,0.18,3.43,3.95,0.77,13.94,0.64,8.73,4.45,4.07,0.37,0.02,0.12,0.08,0,0.35,0.02,0.27,0.05,0.03,0,22.34,4.99,7.6,0.3,0.69,0.12,0,2.18,0.37,0.02,5.04,1.05
32,"1",1,13081,94.96,35.05,27,30.28,22.75,24.85,77.82,47.09,5.01,0.63,0.06,0.01,0.07,0,0.5,4.37,10.5,15.47,7.5,3.8,5.75,1.44,9.95,5.02,3.44,1.61,7.33,2.16,1.96,1.11,0.84,0.03,0.03,0.67,2.01,0,0,0,0.01,18.21,3.39,7.34,1.05,3.43,0.74,4.42,1.27,0.76,0.02,0.38,0.58,0.05,0.24,0,0.3,4.02,0.31,0.37,3,0.26,0.24,3.26,5.91,1.35,10.5,0.7,6.61,3.16,2.09,0.12,0.04,0.69,0,0,2.1,0,2.04,0.01,0.06,0,14.84,4.58,5.72,0.21,0.43,0.02,0,0.22,0.03,0.09,3.25,0.29
33,"1",1,14322,98.34,58.53,47.32,27.74,30.22,29.54,68.91,38.85,3.79,0.55,0.03,0.29,0.02,0,0.2,3.24,9.62,15.22,4.69,1.97,4.32,0.52,7.18,3.99,2.23,0.61,7.44,3.52,1.39,0.75,0.63,0.03,0.08,0.42,4.53,0,0,0.2,0.03,13.13,5.06,3.25,0.62,2.82,0.97,2.14,1.49,1.03,0.07,0.25,0.15,0.04,0.07,0,0.03,5.31,2.36,0.85,2.02,0.34,0.26,2.74,3.41,0.68,13.99,0.87,7.32,4.87,2.21,0.14,0.03,0.2,0.01,0,0.08,0,0.05,0.01,0.02,0,19.8,4.46,6.95,0.22,1.05,0.03,0,0.87,0.48,0.15,4.64,0.94
36,"1",1,13042,97.63,52.12,18.42,25.65,26.14,31.51,68.36,42.09,4.71,1,0,0.44,0,0,0.56,3.7,10.72,15.07,5.17,2.58,5.15,0.84,8.74,4.06,2.79,1.13,6.67,2.07,1.66,0.8,0.81,0.06,0.12,0.18,3.89,0,0.01,0.03,0,13.82,4.51,2.56,1.1,2.37,1.33,2.96,1.55,1.04,0.18,0.12,0.1,0.04,0.02,0,0.05,3.9,1.25,0.94,1.09,0.53,0.67,3.99,3.29,0.38,9.24,0.79,5.57,2.89,4.82,0.18,0.02,0.26,0.02,0,0.26,0.01,0.08,0.12,0.05,0,18.52,4.82,7.61,0.07,0.4,0.05,0,0.96,0.12,0.17,3.79,0.54
37,"1",1,7797,95.39,41.73,39.75,31,23.21,26.38,66.22,38.49,4.08,0.82,0,0.51,0,0.03,0.28,3.26,8.81,12.81,5.64,2.5,5,1.3,7.77,5.16,3.94,1.14,7.28,1.91,2.1,1.21,0.9,0.04,0.27,0.15,2.55,0.01,0.03,0.31,0.03,13.63,4.6,2.72,0.8,2.55,0.87,3.86,2.05,1.77,0.1,0.06,0.15,0.08,0.06,0,0.01,4.1,0.82,1.03,1.91,0.83,0.21,3.83,3.62,0.63,11.8,0.99,6.84,4.07,3.36,0.17,0.04,0.18,0,0,0.24,0,0.18,0.21,0.03,0,20.1,4.81,6.71,0.17,0.64,0.09,0,2.32,0.13,0.22,4.03,0.99
39,"0",1,14478,97.41,47.32,22.6,40.01,22.48,28.11,70.04,38.89,4.05,1.6,0.41,0.03,0.08,0.02,1.06,2.45,10.69,12.98,4.58,2.74,4.79,0.68,8.59,5.01,3,0.95,5.44,2.49,3.87,2.33,1.54,0.97,0.03,0.32,3.43,0.01,0.01,0.03,0.01,13.1,3.56,2.94,0.85,2.74,1.3,3.13,2.18,1.7,0.03,0.7,0.77,0.08,0.61,0.01,0.1,5.28,0.58,1.46,1.33,1.7,1.43,2.73,4.7,1.02,10.26,1.46,5.65,3.13,3.22,1.08,0.06,0.77,0.22,0.02,0.45,0,0.29,0.07,0.12,0,19.21,5.13,6.41,0.1,0.55,0.01,0,1.11,0.52,0.75,3.96,0.67
43,"0",1,14001,91.42,62.53,27.31,7.87,24.14,26.98,76.77,42.2,8.13,3.5,0.42,1.12,0.11,0.3,1.55,4.63,8.06,13.41,5.26,2.56,5.45,1.42,9.6,5.04,3.41,1.3,6.64,1.91,8.62,3.47,5,0.65,2.98,1.09,8.21,0.01,0.12,0.13,0.34,17.23,5.86,3.54,1.41,2.36,1.31,4.35,1.77,0.89,0.21,0.29,0.42,0.14,0.12,0.08,0.08,10.23,2.08,1.09,6.4,0.76,0.8,3.65,4.16,1.11,8.46,1.11,5.24,2.12,3.04,0.74,0.06,0.21,0.96,0.04,0.35,0.06,0.2,0.09,0.03,0,26.3,4.72,8.84,0.45,0.21,0.13,0,1.66,0.98,0.72,5.83,2.76
44,"1",1,13288,92.77,56.13,33.51,27.4,19.77,32.2,76.39,40.08,5.97,2.04,0.01,0.89,0.07,0,1.08,3.93,7.64,13.33,5.73,2.81,5.62,0.89,8.56,5.98,3.8,0.94,4.46,2.49,3.26,1.66,1.56,0.7,0.14,0.27,5.76,0.02,0.02,0.2,0.08,18.85,4.81,3.39,1.05,3.38,3.52,4.28,2.86,2.4,0.05,0.35,1.07,0.48,0.29,0.01,0.33,6.22,2.05,0.78,2.65,0.65,0.56,3.63,4.15,0.81,10.4,0.83,7.71,1.78,3.73,0.33,0.03,0.28,0.05,0.01,0.22,0,0.16,0.04,0.03,0,17.8,5.43,6.53,0.09,0.27,0.05,0,1.2,0.44,0.16,2.83,0.81
46,"1",1,13171,96.16,54.42,47.68,38.46,27.44,30.09,71.49,37.78,4.02,1.06,0.08,0.49,0.02,0.01,0.46,2.96,6.07,15.87,4.71,3.04,5.27,0.6,6.97,7.93,4.55,0.63,7.43,2.84,2.9,1.81,1.09,0.18,0.03,0.17,5.1,0.09,0.02,0.18,0.2,13.8,4.41,2.44,0.93,1.78,1.48,3.83,0.92,0.71,0.08,0.11,0.1,0.05,0.05,0,0,8,1.15,1.22,4.39,1.05,0.76,2.75,3.93,0.56,13.27,0.69,7.07,5.52,3.37,0.11,0.08,0.11,0,0,0.4,0,0.14,0.13,0.14,0,21.22,4.53,7.1,0.11,0.96,0.1,0,2.61,0.43,0.49,4,0.89
48,"0",1,16535,95.4,80.74,20.2,37.43,27.11,33.12,74.79,38.57,6.01,2.32,0.1,0.67,0.3,0.18,1.08,3.69,7.21,14.67,4.05,2.53,5.31,0.85,7.35,4.54,3.2,1.16,5.72,1.61,4.61,2.61,1.95,1.06,0.31,0.24,11.98,1.89,0.8,1.16,0.24,13.29,4.3,3.14,0.92,2.07,1.37,3.31,1.23,0.74,0.07,0.31,0.56,0.06,0.34,0.04,0.09,10.74,4.67,1.03,3.14,1.28,1.26,3.53,3.72,0.48,9.39,1.29,5.29,2.8,3.94,0.25,0.05,0.22,0.07,0.93,0.27,0.01,0.13,0.05,0.08,0,22.64,5.12,8.04,0.16,0.77,0.09,0,1.46,0.45,0.76,4.84,0.95
49,"0",1,10970,94.88,55.32,35.15,51.16,22.57,32.26,74,39.7,4.78,1.38,0.04,0.47,0.25,0.04,0.58,3.39,7.68,14.36,5.92,2.22,6.18,0.57,9.18,6.31,4.13,0.82,4.41,2.13,3.18,2.22,0.87,0.14,0.15,0.17,4.89,0.01,0.01,0.1,0.08,15.49,4.14,4.79,1.75,3.04,0.98,3.66,1.2,0.66,0.08,0.28,0.77,0.24,0.18,0,0.35,6.83,0.77,3.31,2.08,2.19,0.74,3.88,3.49,1.31,12.67,4.17,4.86,3.79,5.06,0.39,0.04,0.17,0.06,0,0.13,0,0.06,0.01,0.05,0,20.97,5.54,7.15,0.54,0.36,0.09,0.01,0.89,1.38,0.15,3.17,1.69
52,"0",1,14703,94.59,60.89,30.47,41.64,22.52,34.39,71.96,38.98,4.62,1.96,0.03,0.82,0.08,0.1,0.92,2.67,7.29,14.3,4.71,2.96,6.05,1.23,8.05,6.16,3.33,1.1,6.54,1.61,5.22,2.71,1.84,0.52,0.2,0.77,6.18,0.01,0.04,0.08,0.14,16.51,6.39,4.45,0.94,2.26,1.53,3.05,2.71,0.64,0.37,0.8,1.76,0.96,0.34,0.12,0.54,4.94,1.24,0.97,1.23,1.41,0.54,4.07,2.73,0.63,9.49,1.57,5.11,2.85,3.52,0.96,0.03,0.16,0.11,0.01,0.17,0,0.08,0.05,0.04,0,21.93,4.94,8.43,0.07,0.32,0.05,0,0.7,1.71,0.29,4.73,0.68
53,"0",1,9878,94.3,57.32,23.24,10.54,25.86,33.31,64.98,33.28,4.59,1.4,0.03,0.67,0,0.01,0.69,3.19,5.35,12.83,4.63,1.76,4.43,1.11,6.77,5.91,2.63,0.82,6.24,1.81,3.68,1.24,2.44,0.16,0.91,1.16,5.58,0,0.03,0.25,0.03,14.32,3.58,5.64,0.88,1.45,1.09,3.26,2.01,1.75,0.09,0.05,0.69,0.52,0.08,0.04,0.05,9.5,1.62,1.54,5.61,0.74,0.37,3.29,3.14,0.65,10.63,0.94,7.91,1.84,4.32,0.1,0.01,0.33,0.04,0,0.18,0,0.08,0.04,0.06,0,26.06,5.21,7.67,0.25,0.62,0.01,0,4.24,0.22,0.29,5.78,1.75
55,"0",1,11594,94.85,51.31,41.66,47.63,24.15,37.86,69.9,37.53,5.42,1.5,0.04,0.34,0.01,0.38,0.73,3.92,7.75,12.97,5.36,1.91,4.49,1.19,9.89,4.07,2.69,0.88,5.36,1.56,3.5,2.29,1.11,0.28,0.09,0.39,5.03,0.01,0.03,0.24,0.22,15.69,4.3,5.41,1.04,1.73,1.18,3.81,1.35,0.56,0.49,0.15,0.69,0.41,0.22,0.03,0.09,4.81,0.69,1.27,1.6,1.16,0.41,4.99,3.83,1.13,12.99,3.36,6.45,2.64,3.52,0.24,0.09,0.1,0.02,0.05,0.24,0,0.16,0.03,0.07,0,21.81,4.78,7.62,0.08,0.53,0.03,0,3,0.35,0.22,4.24,0.97
56,"0",1,11345,95.72,75.67,13.32,10.75,16.54,30.82,72.34,39.69,7.04,2.65,0.06,1.18,0.04,0.04,1.34,4.39,8.98,13.51,5.02,2.43,3.97,0.42,8.29,4.84,2.67,1.22,7.79,1.44,7.29,2.22,3.4,0.31,1.49,1.38,8.43,0,0,0.04,0.04,13.63,4.78,4.78,1.18,1.98,0.76,2.2,1.15,0.64,0.04,0.13,0.11,0.05,0.03,0,0.03,8.15,2.41,1.61,3,0.53,0.94,3.01,3.56,0.93,8.51,0.92,5.76,1.82,1.82,0.32,0.01,2.43,0,0,0.63,0,0.57,0.16,0.02,0,28.54,7.25,7.92,0.51,0.5,0.07,0,0.95,0.19,0.99,5.78,4.37
