Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
19.txt,1,13686,98.40,43.93,43.51,65.77,26.89,27.12,68.60,40.25,3.97,1.24,0.55,0.04,0.11,0.00,0.54,2.73,9.99,15.65,4.77,1.85,4.52,0.77,6.40,6.65,3.13,0.72,7.10,2.07,3.54,2.82,0.71,0.04,0.06,0.39,1.77,0.02,0.00,0.08,0.00,12.06,4.05,2.96,0.62,1.60,2.15,2.13,0.81,0.56,0.03,0.17,0.26,0.01,0.09,0.00,0.15,4.65,0.56,0.80,2.21,1.22,0.31,2.47,4.16,0.87,13.91,0.74,10.02,2.79,1.60,0.09,0.06,0.26,0.00,0.00,0.77,0.00,0.71,0.07,0.05,0.00,14.99,4.05,5.71,0.45,0.27,0.01,0.00,1.01,0.04,0.15,2.73,0.56
20.txt,1,4512,96.10,49.20,23.62,70.79,22.34,28.24,69.99,38.21,4.45,1.51,0.00,0.53,0.11,0.00,0.86,2.95,8.18,13.72,5.47,2.08,4.79,0.91,10.24,6.25,3.61,0.80,7.60,2.68,4.96,3.68,1.29,0.09,0.07,0.20,3.88,0.00,0.02,0.00,0.00,13.98,4.21,3.99,1.15,2.15,0.44,3.81,0.86,0.75,0.00,0.04,1.31,0.07,1.24,0.00,0.00,7.65,1.17,1.68,4.50,0.71,0.29,4.52,3.37,0.58,9.82,0.80,5.45,3.17,3.44,0.02,0.00,0.51,0.00,0.00,0.31,0.00,0.27,0.02,0.02,0.00,19.22,4.96,6.03,0.11,0.44,0.07,0.00,1.02,0.04,0.04,4.61,1.88
22.txt,1,7662,96.03,54.92,22.72,28.16,25.29,30.36,70.69,39.52,4.78,1.23,0.00,0.69,0.00,0.01,0.52,3.55,8.24,14.43,5.29,2.34,5.63,0.57,8.57,5.35,3.77,1.06,6.55,2.38,4.06,2.04,1.89,1.54,0.03,0.10,5.02,0.04,0.03,0.40,0.01,13.99,3.22,4.03,1.04,2.92,0.99,3.90,2.15,1.14,0.26,0.31,0.44,0.23,0.13,0.03,0.05,7.82,1.47,2.01,2.00,1.07,2.53,3.24,4.32,0.64,10.44,0.86,6.66,3.07,3.62,0.16,0.17,0.27,0.00,0.00,0.47,0.00,0.38,0.26,0.05,0.00,21.08,4.70,7.61,0.21,0.51,0.03,0.00,1.12,0.18,0.17,5.59,0.97
24.txt,1,7729,96.95,60.02,10.25,23.93,24.54,31.19,61.39,37.84,4.90,1.75,0.00,0.85,0.03,0.06,0.80,3.16,8.64,13.83,4.22,1.88,5.08,0.65,6.78,3.74,2.74,0.88,6.81,1.95,1.13,0.50,0.62,0.04,0.03,0.16,5.21,0.01,0.08,0.44,0.06,12.21,4.18,3.14,0.84,1.50,1.24,2.60,1.29,0.92,0.08,0.10,0.56,0.08,0.36,0.00,0.12,4.76,1.59,0.89,1.62,0.44,0.53,3.87,3.18,0.23,7.52,0.58,4.94,2.06,2.60,0.13,0.03,0.18,0.03,0.00,0.61,0.31,0.41,0.18,0.01,0.00,23.42,6.24,7.83,0.06,0.52,0.01,0.00,0.92,0.97,0.27,5.81,0.79
25.txt,1,5539,96.90,50.22,49.38,33.24,24.29,30.20,72.59,41.61,4.17,0.85,0.02,0.43,0.00,0.02,0.38,3.32,9.48,15.06,5.71,3.72,4.41,0.88,9.48,3.70,2.37,0.87,6.86,2.13,1.17,0.79,0.36,0.16,0.14,0.00,2.76,0.00,0.00,0.05,0.02,16.63,5.36,5.13,0.63,3.00,2.18,2.24,1.14,0.96,0.13,0.02,0.18,0.04,0.05,0.09,0.00,2.44,0.52,0.81,0.88,0.63,0.05,3.76,4.75,0.56,13.94,0.88,5.67,7.31,4.28,0.25,0.00,0.13,0.02,0.00,0.32,0.00,0.18,0.22,0.05,0.00,17.57,4.78,6.32,0.14,0.47,0.02,0.00,0.78,0.47,0.07,3.94,0.58
26.txt,1,10628,95.85,43.42,13.14,27.33,24.05,30.39,64.20,38.57,3.28,0.37,0.00,0.10,0.00,0.00,0.26,2.92,9.31,12.78,6.27,2.47,5.36,0.90,9.83,3.84,2.32,1.31,6.87,1.23,0.90,0.50,0.40,0.08,0.09,0.18,2.67,0.00,0.01,0.09,0.00,13.39,1.73,5.81,0.92,1.83,0.95,3.53,1.72,0.54,0.31,0.04,0.40,0.23,0.12,0.00,0.02,3.13,0.41,0.70,1.72,0.32,0.31,3.10,5.45,1.14,9.95,2.06,5.34,3.15,2.96,0.06,0.02,1.04,0.00,0.06,0.78,0.00,0.73,0.52,0.02,0.00,19.46,5.12,6.42,0.09,0.80,0.03,0.00,1.30,0.06,0.15,4.52,0.98
27.txt,1,14367,95.72,52.92,17.93,19.82,17.83,33.31,57.14,32.02,3.02,0.62,0.16,0.31,0.01,0.00,0.14,2.40,6.84,11.58,4.33,1.82,5.03,0.60,6.47,4.89,2.85,0.72,10.04,1.14,1.91,0.73,1.13,0.01,0.10,0.32,3.19,0.06,0.05,0.13,0.04,12.79,4.77,5.21,0.34,1.32,1.21,2.01,2.19,0.79,0.10,0.13,0.17,0.02,0.05,0.01,0.08,4.68,1.17,0.62,2.64,0.41,0.21,2.02,3.95,0.47,8.89,0.94,6.29,1.88,2.96,0.18,0.08,0.29,0.03,0.03,0.81,0.01,0.40,0.31,0.03,0.00,28.25,6.50,11.95,0.36,0.54,0.05,0.00,1.80,0.04,0.18,5.83,0.99
28.txt,1,4635,98.30,54.39,27.85,32.43,24.02,33.42,63.88,36.53,3.09,0.73,0.00,0.45,0.00,0.00,0.28,2.35,10.38,13.03,4.88,1.45,3.91,0.71,6.32,3.39,2.07,0.54,7.57,1.29,2.33,0.82,0.43,0.02,0.06,0.28,3.93,0.00,0.00,0.17,0.00,13.12,5.74,4.27,0.86,1.92,0.67,2.57,3.67,3.37,0.15,0.09,0.15,0.04,0.02,0.06,0.02,3.32,0.76,0.88,1.88,0.26,0.11,3.00,3.04,0.69,10.03,0.99,6.13,3.28,3.15,0.15,0.00,0.11,0.00,0.00,0.22,0.00,0.22,0.09,0.00,0.00,22.55,6.00,8.16,0.13,1.10,0.00,0.00,1.01,0.17,0.17,4.75,1.06
29.txt,1,5977,93.20,46.59,46.30,30.88,27.93,29.95,71.93,40.71,5.79,1.46,0.03,0.85,0.00,0.00,0.57,4.33,6.83,14.76,5.96,3.70,4.95,0.80,8.93,4.75,3.43,1.25,5.45,4.08,1.54,0.92,0.62,0.05,0.12,0.25,2.99,0.00,0.02,0.00,0.00,14.86,3.66,2.98,1.04,3.33,1.31,3.85,3.41,2.98,0.08,0.08,1.02,0.12,0.55,0.02,0.35,3.41,1.27,0.59,1.39,0.25,0.18,3.43,3.95,0.77,13.94,0.64,8.73,4.45,4.07,0.37,0.02,0.12,0.08,0.00,0.35,0.02,0.27,0.05,0.03,0.00,22.34,4.99,7.60,0.30,0.69,0.12,0.00,2.18,0.37,0.02,5.04,1.05
32.txt,1,13081,94.96,35.05,27.00,30.28,22.75,24.85,77.82,47.09,5.01,0.63,0.06,0.01,0.07,0.00,0.50,4.37,10.50,15.47,7.50,3.80,5.75,1.44,9.95,5.02,3.44,1.61,7.33,2.16,1.96,1.11,0.84,0.03,0.03,0.67,2.01,0.00,0.00,0.00,0.01,18.21,3.39,7.34,1.05,3.43,0.74,4.42,1.27,0.76,0.02,0.38,0.58,0.05,0.24,0.00,0.30,4.02,0.31,0.37,3.00,0.26,0.24,3.26,5.91,1.35,10.50,0.70,6.61,3.16,2.09,0.12,0.04,0.69,0.00,0.00,2.10,0.00,2.04,0.01,0.06,0.00,14.84,4.58,5.72,0.21,0.43,0.02,0.00,0.22,0.03,0.09,3.25,0.29
